"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","2","3","-0.5907484217204629","0.24835540145092605"
"20","11","4","5","-0.4426684412000946","0.47316172802174533"
"30","16","5","9","-0.2971005781882875","0.5824800946310732"
"40","24","5","11","-0.3421098428816491","0.5465897135642179"
"50","29","9","12","-0.5966321993355803","0.20946184713203037"
"60","34","11","15","-0.6287392636846681","0.02753165411060087"
"70","37","14","19","-0.5216918942566724","0.3601480688876702"
"80","43","17","20","-0.6014665485270363","0.20249108913049"
"90","47","20","23","-0.566305914628329","0.28049639873831833"
"100","54","21","25","-0.5913983767051183","0.20102201355063548"
