"Round","[Player TD]","[Player Random]","[Player Simple]","error","variance"
"10","5","1","4","-0.6210237416740986","0.04363324252691918"
"20","10","3","7","-0.6038854997863192","0.16821889531204207"
"30","14","9","7","-0.6313337214421996","0.018167769406211384"
"40","21","10","9","-0.6200015470937559","0.045227576180820725"
"50","27","11","12","-0.619135219454901","0.05785826344840337"
"60","33","13","14","-0.585835427403244","0.22119388699845402"
"70","41","13","16","-0.5971514788228345","0.22820031856557796"
"80","46","14","20","-0.5675417917718563","0.27019784891015064"
"90","49","17","24","-0.19752430325683465","0.34133962125285766"
"100","55","18","27","-0.6141626722351217","0.13965763535641562"
